account_age_days,historical_return_rate,lifetime_value_usd,orders_last_7d,failed_payment_attempts,is_fraudulent_return
302,0.33920962585685616,3819.1746329966936,9,1,0
457,0.2705807795503292,4297.485720961651,1,1,0
943,0.02698488071369587,3797.6256142571833,7,0,0
334,0.31365706850513125,234.637711914317,6,1,0
5,0.08271007606420466,2765.733897897017,2,1,0
66,0.15702200150882206,1324.3724898208247,2,1,0
767,0.05596728906739462,3182.2151689245165,0,0,0
148,0.215246791715755,1850.9451031387187,4,0,0
607,0.06860740598201215,4811.457395058291,5,0,0
517,0.16288977187280912,4188.867600454766,8,0,0
994,0.20954387683548298,1273.386479099013,6,1,0
998,0.016428348870198173,2535.6922763229336,7,0,0
357,0.1303167273785007,4327.062967284044,7,0,0
229,0.3117058656681323,2004.996132702452,4,0,0
431,0.2460827529276029,2188.618557488264,6,0,0
364,0.05463077829542862,2361.1835705442,2,1,0
649,0.22398759606926333,3327.511031144675,3,0,0
273,0.31542551932255586,4304.819686634653,3,0,0
929,0.3339622367980423,562.4932365660212,4,1,0
382,0.2625319350953478,1116.1157624401253,0,0,0
142,0.15286149965161472,579.5599477786777,7,0,0
583,0.04921735452249487,3874.710237577641,3,0,0
237,0.29822312444942234,74.45450977453831,5,1,0
749,0.3213139676054658,2555.113154946497,9,0,0
374,0.303101126805166,3719.2580697466424,4,1,0
897,0.32823575876508243,4511.274523764248,5,1,0
628,0.27987924646464535,1959.810429926428,5,1,0
47,0.3697551165785324,738.12946118317,5,1,0
658,0.30494687083464966,1131.3568408048634,0,0,0
790,0.36707479865207543,2130.4269397736853,9,0,0
414,0.34395504572766217,748.651917304931,2,0,0
134,0.3659520995065159,4650.285096214322,6,1,0
588,0.03949029968311585,4075.603128857851,0,1,0
834,0.01878644292230508,340.2714690909226,3,0,0
910,0.10031604507328673,4437.761119641556,2,0,0
369,0.17403518543057006,2348.102002341117,6,0,0
261,0.2746631825930075,1838.2455588984546,1,1,0
495,0.1531905184681448,1436.9147663073757,7,0,0
629,0.020687191233629942,1215.6972588363658,4,1,0
524,0.008856925304694507,1600.956603189083,4,0,0
283,0.23047775705659135,3681.620163114671,1,0,0
658,0.20017779713497924,1851.1488800804775,8,1,0
735,0.09479774508834637,881.3733116187005,4,0,0
82,0.3064002860680654,4446.636605679767,7,0,0
762,0.23577006329408262,475.593064531456,9,0,0
517,0.27161004718358045,3149.2399149109947,4,1,0
855,0.20769671498439918,633.5197828550034,9,0,0
484,0.24012700054307734,3216.2424716023665,6,1,0
678,0.2647892082571252,1800.6792432550862,6,0,0
268,0.1064697738161714,4104.6692536265955,4,0,0
816,0.1275467164161897,2437.2684744585645,0,1,0
825,0.24087791486449073,2060.540341488312,9,0,0
581,0.31527801545459766,1335.0897884359058,1,1,0
283,0.2656340024804179,1837.3284301917417,6,1,0
727,0.397830115330721,2649.1848350862974,6,1,0
738,0.207054541061998,2842.0805330517514,4,1,0
973,0.08837843371173038,3315.125773953828,7,0,0
602,0.2013356041269989,628.7221822691774,7,0,0
797,0.16292204541246386,4297.36818608141,2,0,0
743,0.355841029677543,1039.5255213379544,1,0,0
526,0.06285295325605783,1545.774820492655,4,1,0
97,0.3007132926124004,4729.349602896434,6,0,0
847,0.21344334785458297,4477.122753150673,4,1,0
939,0.17143436976370746,3645.2511909998834,5,1,0
154,0.28671591267783053,3487.674722669294,2,0,0
227,0.034118841551520396,452.90073563907555,9,1,0
327,0.30070536100180567,1041.8171189785862,7,0,0
856,0.19622594243425395,2513.2193233570024,3,1,0
774,0.09574670496540116,4480.890933389317,8,0,0
611,0.24731797020779472,3489.38724200678,6,1,0
781,0.25535664347251563,3590.7135261944477,3,1,0
121,0.16628147620350908,3423.8374345322204,8,0,0
610,0.246046005175049,4344.190551372856,6,0,0
979,0.2570213948391021,1699.4029793034451,4,1,0
673,0.3192718637009567,4160.77497262534,0,0,0
945,0.16845691829573023,3520.360598249897,0,0,0
776,0.12532799002078476,3984.9314021144287,5,1,0
563,0.21622367980260687,3403.9478675856367,2,0,0
704,0.24463963052580157,4098.00052565956,0,0,0
288,0.31302976572141455,564.8033453607804,3,0,0
230,0.3842875862046992,179.47291543544486,7,1,0
309,0.10369935891456827,562.1832948985576,8,1,0
859,0.063896744128911,2199.2950884883244,8,0,0
13,0.33787262758209163,3820.1773453924284,5,1,0
989,0.13811947081157178,4070.0539237250428,3,1,0
352,0.23425502495991224,2771.0556908270196,5,0,0
164,0.08156055793355677,4734.11348989018,3,1,0
593,0.028352325685023327,1203.1397577727255,9,1,0
831,0.08553004626667582,2088.656472044997,5,0,0
547,0.3511066842041623,3514.1274800519486,6,1,0
936,0.3327781943943722,992.3964228377954,7,1,0
609,0.1738912015244436,3685.305168299681,7,0,0
44,0.19338511744084103,374.97104874928925,3,1,0
423,0.3109572106419391,73.00843618013916,0,1,0
270,0.00784746767122324,2817.584206909858,5,1,0
921,0.0013037316963168677,1982.3829312120693,2,1,0
481,0.3674914858149477,478.52840702024173,0,0,0
581,0.06705981135489508,3673.1131726349186,8,0,0
678,0.217345196331793,3977.019248543381,3,1,0
842,0.017201604226729117,4320.860168937199,4,0,0
528,0.29661886078270866,269.72903566717105,1,0,0
728,0.3424018478229281,4445.5200772164035,9,1,0
360,0.29253890818660805,2516.871774757467,4,1,0
62,0.3818015335440068,4806.270940595801,1,1,0
709,0.19281029869304595,1566.8739950702238,0,1,0
444,0.3235556304870473,3255.6381237344203,3,0,0
872,0.27339356241414187,2946.265719824708,2,1,0
945,0.12628053563476271,4873.184873825676,2,1,0
529,0.354399632453077,957.8768449058863,4,1,0
474,0.04777955197916761,2833.2937424206925,0,0,0
191,0.052850301939650346,3676.5791000904787,6,0,0
166,0.04734268736396141,1299.1903246403222,5,1,0
569,0.09342450972664351,4217.19394815839,1,1,0
437,0.058735970136429505,1934.5985012909812,9,0,0
93,0.0714049628913348,1220.0038824931917,4,1,0
129,0.04926863358387035,3583.352815900056,3,1,0
314,0.18231999550689149,3307.589479797141,5,1,0
69,0.29405259912099896,1908.1070659599059,1,1,0
223,0.0654381667288435,2345.214766236794,6,1,0
796,0.19645466780244664,3839.380091160615,7,1,0
882,0.25474136892195726,699.8874508178353,9,1,0
172,0.29622159270453813,1304.0029071727758,1,0,0
948,0.002434203827751613,257.2208388184545,6,1,0
158,0.10037247458476478,2026.0425613854432,0,1,0
113,0.19599902194457425,2975.5687415668426,5,0,0
237,0.10694786818739588,2860.2772609060453,2,1,0
735,0.3575683884055878,2572.789360397297,3,1,0
747,0.18964939633609373,4606.889409490978,5,0,0
826,0.21754546334976216,426.4443824480626,9,0,0
269,0.039735832927247305,4961.683058643979,1,0,0
229,0.22663373037751067,234.3013943338906,5,1,0
228,0.16323636490931032,965.8627460894078,2,1,0
516,0.07008271669136518,1590.7402776403383,9,0,0
959,0.010321719772896643,2446.3817784581665,4,1,0
87,0.16897278552264539,3702.8949309511945,7,0,0
166,0.0892420371735424,3371.9156174696095,4,0,0
154,0.1212886014489683,1593.265397709796,4,0,0
700,0.14902878589740476,4122.4452583886205,1,1,0
88,0.11278997208054753,1595.334247022887,9,1,0
391,0.15637055809420009,3095.1179808202023,3,1,0
73,0.13666443833294534,2323.0369478071657,9,0,0
426,0.05329872491467502,1127.2452971201888,4,0,0
81,0.09814360007153805,2397.3887384613095,8,1,0
591,0.03583968983766733,234.2522911925062,9,1,0
128,0.056793658689337445,800.8677228929408,9,1,0
628,0.176438675252167,2380.752134449173,9,0,0
868,0.1428324944233615,4127.1793440640395,4,0,0
824,0.2467718297947265,1926.159867558035,6,0,0
972,0.08526902444911294,3122.518775492947,7,0,0
226,0.22187968889016774,2121.473910393789,6,1,0
505,0.022790493539091294,2314.8081721613507,7,1,0
192,0.034653886519147414,857.9493254257638,9,1,0
936,0.1696186702644335,1017.9645718627057,2,0,0
194,0.3088096907769777,652.0163206321031,8,1,0
248,0.032964444678741156,569.3670941094862,2,0,0
772,0.15825088963131018,3980.5927012850393,0,1,0
848,0.2115294045983624,4962.495169210093,1,1,0
743,0.355841029677543,1039.5255213379544,1,0,0
827,0.1073189814522143,403.5668513280321,6,0,0
664,0.026888452666526008,2215.418225120994,6,0,0
213,0.08145829650080955,1678.082990772636,6,0,0
774,0.2510742263184926,2498.096107537753,3,1,0
774,0.09574670496540116,4480.890933389317,8,0,0
949,0.1734835378122419,705.8429917167141,4,1,0
87,0.2847606393410163,659.9440097487994,7,1,0
86,0.20867396015207068,803.8055612280031,7,0,0
935,0.2459339109586034,1152.8938698814115,8,0,0
615,0.01779107289673132,186.6994834482371,0,0,0
468,0.29825800034931543,2691.2652499324904,7,1,0
140,0.18779443700496196,1049.8754723427448,2,1,0
776,0.3649966123224818,2886.3167273534505,5,0,0
869,0.2972046919045365,1120.4695721783646,4,1,0
583,0.21202609260724614,1728.757648132806,4,0,0
41,0.11304959681334609,4245.419483744214,2,1,0
104,0.09341724996720968,2325.466946198379,6,1,0
643,0.14927396299108198,3093.840349959494,2,1,0
761,0.09528802325859692,3309.2064437757203,7,1,0
49,0.23112762142205023,4294.148216055394,3,1,0
974,0.3466909503074277,739.5640400301517,6,1,0
7,0.2605510071472476,1409.9089471959926,0,1,0
451,0.36836121325069826,1416.814188318281,7,0,0
187,0.18435146200198066,1770.2926201687267,7,1,0
729,0.18247859383411258,1946.0668736079137,3,1,0
548,0.014584946145371647,3428.2580762941243,9,0,0
919,0.1090383910305765,3591.52832004,8,1,0
920,0.32623797775361607,1195.4924797768858,0,1,0
900,0.10775642877388442,4293.128056761543,2,1,0
66,0.019562402409859903,1925.109276117441,1,1,0
932,0.13557112669029403,2489.484125702455,7,1,0
947,0.24958491663133087,3606.73980020168,9,0,0
179,0.02752398149710722,3461.4497067690477,7,0,0
627,0.11336711344918071,4520.881208667857,8,1,0
741,0.22604425516948623,4012.5227466886554,4,1,0
76,0.010255801511694751,2496.712291454003,1,0,0
554,0.12888294343111156,407.96922355379155,5,0,0
963,0.3498531778749594,3293.5824152483065,5,0,0
749,0.38866625704109664,2491.796271633406,2,1,0
540,0.28275036567775075,59.5896802274909,9,1,0
764,0.04478301215815533,1047.128643115713,1,0,0
944,0.09394497513625705,1129.393459627571,6,0,0
628,0.16133406875485962,2619.580559323096,7,0,0
353,0.02457631436235519,1800.3521852851077,2,0,0
476,0.3520204966553684,4384.820425442379,0,0,0
63,0.3200151941758402,1636.4917986850032,1,0,0
